aar;bosted;innvandringsgrunn;botid_i_alt;kort_botid_5_ar;lang_botid_5_ar
2025;0301 Oslo i alt;Alle innvandringsgrunner;191686;48518;143168
2025;0301 Oslo i alt;Arbeid;39803;14849;24954
2025;0301 Oslo i alt;Familie, referanseperson flukt;14991;1197;13794
2025;0301 Oslo i alt;Familie, referanseperson annet;21978;3920;18058
2025;0301 Oslo i alt;Familie;24602;9280;15322
2025;0301 Oslo i alt;Flukt;32543;5918;26625
2025;0301 Oslo i alt;Utdanning;11570;4648;6922
2025;0301 Oslo i alt;Andre grunner;1000;414;586
2025;0301 Oslo i alt;Uoppgitt innvandringsgrunn;10333;4634;5699
2025;0301 Oslo i alt;Uten innvandringsgrunn;34866;3658;31208
2025;01 Gamle Oslo;Alle innvandringsgrunner;18925;4744;14181
2025;01 Gamle Oslo;Arbeid;3979;1668;2311
2025;01 Gamle Oslo;Familie, referanseperson flukt;1580;109;1471
2025;01 Gamle Oslo;Familie, referanseperson annet;1783;341;1442
2025;01 Gamle Oslo;Familie;2093;814;1279
2025;01 Gamle Oslo;Flukt;3983;551;3432
2025;01 Gamle Oslo;Utdanning;991;262;729
2025;01 Gamle Oslo;Andre grunner;130;70;60
2025;01 Gamle Oslo;Uoppgitt innvandringsgrunn;1072;488;584
2025;01 Gamle Oslo;Uten innvandringsgrunn;3314;441;2873
2025;02 Grünerløkka;Alle innvandringsgrunner;18354;5516;12838
2025;02 Grünerløkka;Arbeid;4282;1819;2463
2025;02 Grünerløkka;Familie, referanseperson flukt;1302;89;1213
2025;02 Grünerløkka;Familie, referanseperson annet;1846;399;1447
2025;02 Grünerløkka;Familie;2246;935;1311
2025;02 Grünerløkka;Flukt;3214;585;2629
2025;02 Grünerløkka;Utdanning;1220;508;712
2025;02 Grünerløkka;Andre grunner;89;51;38
2025;02 Grünerløkka;Uoppgitt innvandringsgrunn;1144;610;534
2025;02 Grünerløkka;Uten innvandringsgrunn;3011;520;2491
2025;03 Sagene;Alle innvandringsgrunner;10475;2966;7509
2025;03 Sagene;Arbeid;2059;811;1248
2025;03 Sagene;Familie, referanseperson flukt;798;68;730
2025;03 Sagene;Familie, referanseperson annet;964;146;818
2025;03 Sagene;Familie;1222;457;765
2025;03 Sagene;Flukt;1960;420;1540
2025;03 Sagene;Utdanning;891;444;447
2025;03 Sagene;Andre grunner;60;32;28
2025;03 Sagene;Uoppgitt innvandringsgrunn;637;290;347
2025;03 Sagene;Uten innvandringsgrunn;1884;298;1586
2025;04 St. Hanshaugen;Alle innvandringsgrunner;9466;3309;6157
2025;04 St. Hanshaugen;Arbeid;2458;1108;1350
2025;04 St. Hanshaugen;Familie, referanseperson flukt;414;38;376
2025;04 St. Hanshaugen;Familie, referanseperson annet;737;140;597
2025;04 St. Hanshaugen;Familie;1138;452;686
