"skatteår";"område";"Skatt for boligeiendommer (kr)";"Antall boenheter";"Gjennomsnitt skatt pr boenhet (kr)";"Antall boenheter som betaler skatt";"Gjennomsnitt skatt pr boenhet som betaler skatt (kr)"
"2023";"Oslo i alt";1004451805;326645;3075;138528;7251
"2023";"01 Bydel Gamle Oslo";27968964;31014;902;9212;3036
"2023";"02 Bydel Grünerløkka";31126095;34996;889;10268;3031
"2023";"03 Bydel Sagene";24041228;25579;940;8116;2962
"2023";"04 Bydel St. Hanshaugen";42300665;23561;1795;10603;3989
"2023";"05 Bydel Frogner";174240995;36253;4806;22296;7815
"2023";"06 Bydel Ullern";114456396;15497;7386;12160;9413
"2023";"07 Bydel Vestre Aker";200930508;20458;9822;15982;12572
"2023";"08 Bydel Nordre Aker";152330610;23627;6447;14892;10229
"2023";"09 Bydel Bjerke";21686141;14818;1463;3850;5633
"2023";"10 Bydel Grorud";6929847;11129;623;1794;3863
"2023";"11 Bydel Stovner";9152692;11374;805;2568;3564
"2023";"12 Bydel Alna";9171589;19749;464;3029;3028
"2023";"13 Bydel Østensjø";47672284;21388;2229;7558;6308
"2023";"14 Bydel Nordstrand";126662396;21720;5832;12341;10264
"2023";"15 Bydel Søndre Nordstrand";12195895;12688;961;3337;3655
"2023";"Marka";2941808;736;3997;346;8502
"2023";"Sentrum";458415;1357;338;165;2778
"2023";"Ukjent";185277;701;264;11;16843
"2024";"Oslo i alt";780938740;328309;2379;110700;7055
"2024";"01 Bydel Gamle Oslo";17491258;32196;543;6194;2824
"2024";"02 Bydel Grünerløkka";19167398;35326;543;6644;2885
"2024";"03 Bydel Sagene";14492710;26205;553;5213;2780
"2024";"04 Bydel St. Hanshaugen";27548112;23451;1175;7834;3516
"2024";"05 Bydel Frogner";137527694;36059;3814;18782;7322
"2024";"06 Bydel Ullern";91698108;15504;5914;10819;8476
"2024";"07 Bydel Vestre Aker";168046990;20578;8166;14443;11635
"2024";"08 Bydel Nordre Aker";126075201;22656;5565;12565;10034
"2024";"09 Bydel Bjerke";15987302;15227;1050;2993;5342
"2024";"10 Bydel Grorud";4196004;11192;375;1395;3008
"2024";"11 Bydel Stovner";5292958;11337;467;1610;3288
"2024";"12 Bydel Alna";5179665;19683;263;1766;2933
"2024";"13 Bydel Østensjø";35424702;21481;1649;6550;5408
"2024";"14 Bydel Nordstrand";103282705;21902;4716;11272;9163
"2024";"15 Bydel Søndre Nordstrand";6877056;12728;540;2213;3108
"2024";"Marka";2336422;744;3140;307;7610
"2024";"Sentrum";275007;1348;204;94;2926
"2024";"Ukjent";39448;692;57;6;6575
"2025";"Oslo i alt";639167481;330636;1933;111736;5720
"2025";"01 Bydel Gamle Oslo";15759336;32361;487;6720;2345
"2025";"02 Bydel Grünerløkka";16623877;36113;460;6887;2414
"2025";"03 Bydel Sagene";12826327;26445;485;5442;2357
"2025";"04 Bydel St. Hanshaugen";24420512;23694;1031;7944;3074
"2025";"05 Bydel Frogner";115462876;36307;3180;19093;6047
"2025";"06 Bydel Ullern";75072407;15621;4806;10849;6920
"2025";"07 Bydel Vestre Aker";135925396;20697;6567;14627;9293
"2025";"08 Bydel Nordre Aker";102856452;22930;4486;12592;8168
"2025";"09 Bydel Bjerke";12631760;15016;841;3026;4174
"2025";"10 Bydel Grorud";2953689;11167;265;1303;2267
"2025";"11 Bydel Stovner";3681604;11342;325;1440;2557
"2025";"12 Bydel Alna";3604888;19716;183;1570;2296
"2025";"13 Bydel Østensjø";27565912;21596;1276;6505;4238
"2025";"14 Bydel Nordstrand";82571221;22103;3736;11354;7272
"2025";"15 Bydel Søndre Nordstrand";4834724;12729;380;1970;2454
"2025";"Marka";2084275;745;2798;310;6723
"2025";"Sentrum";263275;1374;192;99;2659
"2025";"Ukjent";28950;680;43;5;5790
"2026";"Oslo i alt";469514664;334716;1403;111754;4201
"2026";"01 Bydel Gamle Oslo";12105930;32981;367;7031;1722
"2026";"02 Bydel Grünerløkka";12768397;36611;349;7171;1781
"2026";"03 Bydel Sagene";9614208;26543;362;5482;1754
"2026";"04 Bydel St. Hanshaugen";18108998;23728;763;7890;2295
"2026";"05 Bydel Frogner";85716469;36202;2368;18940;4526
"2026";"06 Bydel Ullern";55553740;15654;3549;10857;5117
"2026";"07 Bydel Vestre Aker";99664167;20825;4786;14618;6818
"2026";"08 Bydel Nordre Aker";75714918;25106;3016;12696;5964
"2026";"09 Bydel Bjerke";9108002;15097;603;3014;3022
"2026";"10 Bydel Grorud";1869991;11201;167;1228;1523
"2026";"11 Bydel Stovner";2281650;11386;200;1320;1729
"2026";"12 Bydel Alna";2281546;19755;115;1402;1627
"2026";"13 Bydel Østensjø";19605199;21649;906;6447;3041
"2026";"14 Bydel Nordstrand";60401634;22231;2717;11452;5274
"2026";"15 Bydel Søndre Nordstrand";2932760;12931;227;1794;1635
"2026";"Marka";1593281;745;2139;319;4995
"2026";"Sentrum";174286;1395;125;89;1958
"2026";"Ukjent";19488;676;29;4;4872
