aar;geografi;alder;kjoenn;andel_sysselsatte;antall_sysselsatte;bosatte_totalt
2024;Oslo i alt;Alder i alt;Begge kjønn;71.1;404239;568854
2024;Oslo i alt;Alder i alt;Kvinne;69.9;198430;283738
2024;Oslo i alt;Alder i alt;Mann;72.2;205809;285116
2024;Oslo i alt;15-24 år;Begge kjønn;52.4;43738;83412
2024;Oslo i alt;15-24 år;Kvinne;55.0;23599;42913
2024;Oslo i alt;15-24 år;Mann;49.7;20139;40499
2024;Oslo i alt;25-39 år;Begge kjønn;82.9;178386;215130
2024;Oslo i alt;25-39 år;Kvinne;82.3;88792;107835
2024;Oslo i alt;25-39 år;Mann;83.5;89594;107295
2024;Oslo i alt;40-49 år;Begge kjønn;80.2;80002;99771
2024;Oslo i alt;40-49 år;Kvinne;79.3;38057;48013
2024;Oslo i alt;40-49 år;Mann;81.0;41945;51758
2024;Oslo i alt;50-59 år;Begge kjønn;76.8;65149;84810
2024;Oslo i alt;50-59 år;Kvinne;75.5;31179;41279
2024;Oslo i alt;50-59 år;Mann;78.0;33970;43531
2024;Oslo i alt;60-74 år;Begge kjønn;43.1;36964;85731
2024;Oslo i alt;60-74 år;Kvinne;38.5;16803;43698
2024;Oslo i alt;60-74 år;Mann;48.0;20161;42033
2024;Bydel Gamle Oslo;Alder i alt;Begge kjønn;74.5;40218;54001
2024;Bydel Gamle Oslo;Alder i alt;Kvinne;73.4;19219;26197
2024;Bydel Gamle Oslo;Alder i alt;Mann;75.5;20999;27804
2024;Bydel Gamle Oslo;15-24 år;Begge kjønn;56.8;3225;5682
2024;Bydel Gamle Oslo;15-24 år;Kvinne;58.9;1694;2874
2024;Bydel Gamle Oslo;15-24 år;Mann;54.5;1531;2808
2024;Bydel Gamle Oslo;25-39 år;Begge kjønn;85.7;22542;26308
2024;Bydel Gamle Oslo;25-39 år;Kvinne;84.8;11175;13176
2024;Bydel Gamle Oslo;25-39 år;Mann;86.6;11367;13132
2024;Bydel Gamle Oslo;40-49 år;Begge kjønn;77.6;7472;9623
2024;Bydel Gamle Oslo;40-49 år;Kvinne;75.3;3236;4297
2024;Bydel Gamle Oslo;40-49 år;Mann;79.5;4236;5326
2024;Bydel Gamle Oslo;50-59 år;Begge kjønn;71.6;4721;6595
2024;Bydel Gamle Oslo;50-59 år;Kvinne;70.6;2119;3003
2024;Bydel Gamle Oslo;50-59 år;Mann;72.4;2602;3592
2024;Bydel Gamle Oslo;60-74 år;Begge kjønn;39.0;2258;5793
2024;Bydel Gamle Oslo;60-74 år;Kvinne;34.9;995;2847
2024;Bydel Gamle Oslo;60-74 år;Mann;42.9;1263;2946
2024;Bydel Grünerløkka;Alder i alt;Begge kjønn;76.8;43679;56867
2024;Bydel Grünerløkka;Alder i alt;Kvinne;76.9;21499;27941
2024;Bydel Grünerløkka;Alder i alt;Mann;76.7;22180;28926
2024;Bydel Grünerløkka;15-24 år;Begge kjønn;62.8;4447;7086
2024;Bydel Grünerløkka;15-24 år;Kvinne;66.1;2598;3933
2024;Bydel Grünerløkka;15-24 år;Mann;58.6;1849;3153
2024;Bydel Grünerløkka;25-39 år;Begge kjønn;86.0;25887;30115
2024;Bydel Grünerløkka;25-39 år;Kvinne;86.2;12928;14992
2024;Bydel Grünerløkka;25-39 år;Mann;85.7;12959;15123
2024;Bydel Grünerløkka;40-49 år;Begge kjønn;80.0;7053;8820
2024;Bydel Grünerløkka;40-49 år;Kvinne;79.3;3115;3930
2024;Bydel Grünerløkka;40-49 år;Mann;80.5;3938;4890
2024;Bydel Grünerløkka;50-59 år;Begge kjønn;73.4;4386;5977
2024;Bydel Grünerløkka;50-59 år;Kvinne;74.1;1993;2688
2024;Bydel Grünerløkka;50-59 år;Mann;72.8;2393;3289
2024;Bydel Grünerløkka;60-74 år;Begge kjønn;39.1;1906;4869
2024;Bydel Grünerløkka;60-74 år;Kvinne;36.1;865;2398
2024;Bydel Grünerløkka;60-74 år;Mann;42.1;1041;2471
2024;Bydel Sagene;Alder i alt;Begge kjønn;77.2;31207;40419
2024;Bydel Sagene;Alder i alt;Kvinne;77.7;16084;20699
2024;Bydel Sagene;Alder i alt;Mann;76.7;15123;19720
2024;Bydel Sagene;15-24 år;Begge kjønn;62.1;2774;4468
2024;Bydel Sagene;15-24 år;Kvinne;64.8;1613;2488
2024;Bydel Sagene;15-24 år;Mann;58.6;1161;1980
2024;Bydel Sagene;25-39 år;Begge kjønn;88.1;19259;21849
2024;Bydel Sagene;25-39 år;Kvinne;88.6;10031;11325
2024;Bydel Sagene;25-39 år;Mann;87.7;9228;10524
2024;Bydel Sagene;40-49 år;Begge kjønn;79.2;4703;5940
2024;Bydel Sagene;40-49 år;Kvinne;80.0;2236;2794
2024;Bydel Sagene;40-49 år;Mann;78.4;2467;3146
2024;Bydel Sagene;50-59 år;Begge kjønn;72.3;2988;4135
2024;Bydel Sagene;50-59 år;Kvinne;74.1;1494;2016
2024;Bydel Sagene;50-59 år;Mann;70.5;1494;2119
2024;Bydel Sagene;60-74 år;Begge kjønn;36.8;1483;4027
2024;Bydel Sagene;60-74 år;Kvinne;34.2;710;2076
2024;Bydel Sagene;60-74 år;Mann;39.6;773;1951
2024;Bydel St.Hanshaugen;Alder i alt;Begge kjønn;76.7;26451;34471
2024;Bydel St.Hanshaugen;Alder i alt;Kvinne;76.9;13111;17042
2024;Bydel St.Hanshaugen;Alder i alt;Mann;76.5;13340;17429
2024;Bydel St.Hanshaugen;15-24 år;Begge kjønn;65.3;3259;4993
2024;Bydel St.Hanshaugen;15-24 år;Kvinne;67.5;1959;2904
2024;Bydel St.Hanshaugen;15-24 år;Mann;62.2;1300;2089
2024;Bydel St.Hanshaugen;25-39 år;Begge kjønn;84.5;14993;17741
