aargang;geografi;geografi.1;kjoenn;aldersgrupper;sysselsatte;andeler;befolkning
2024;102;Grønland;Mann;15-24 år;263;59.2;444
2024;102;Grønland;Kvinne;15-24 år;271;58.5;463
2024;102;Grønland;Mann;25-39 år;1890;82.3;2296
2024;102;Grønland;Kvinne;25-39 år;1554;78.9;1969
2024;102;Grønland;Mann;40-49 år;611;71.2;858
2024;102;Grønland;Kvinne;40-49 år;339;63.1;537
2024;102;Grønland;Mann;50-59 år;337;61.8;545
2024;102;Grønland;Kvinne;50-59 år;195;49.9;391
2024;102;Grønland;Mann;60 -74 år;177;37.8;468
2024;102;Grønland;Kvinne;60 -74 år;103;30.7;335
2024;103;Enerhaugen;Mann;15-24 år;201;51.0;394
2024;103;Enerhaugen;Kvinne;15-24 år;224;57.7;388
2024;103;Enerhaugen;Mann;25-39 år;1303;85.7;1521
2024;103;Enerhaugen;Kvinne;25-39 år;1372;83.9;1635
2024;103;Enerhaugen;Mann;40-49 år;483;76.4;632
2024;103;Enerhaugen;Kvinne;40-49 år;339;70.8;479
2024;103;Enerhaugen;Mann;50-59 år;314;70.7;444
2024;103;Enerhaugen;Kvinne;50-59 år;215;65.0;331
2024;103;Enerhaugen;Mann;60 -74 år;135;41.3;327
2024;103;Enerhaugen;Kvinne;60 -74 år;83;33.2;250
2024;104;Nedre Tøyen;Mann;15-24 år;132;53.9;245
2024;104;Nedre Tøyen;Kvinne;15-24 år;149;58.4;255
2024;104;Nedre Tøyen;Mann;25-39 år;952;82.6;1152
2024;104;Nedre Tøyen;Kvinne;25-39 år;1002;79.5;1260
2024;104;Nedre Tøyen;Mann;40-49 år;263;70.3;374
2024;104;Nedre Tøyen;Kvinne;40-49 år;194;58.6;331
2024;104;Nedre Tøyen;Mann;50-59 år;132;53.0;249
2024;104;Nedre Tøyen;Kvinne;50-59 år;108;54.3;199
2024;104;Nedre Tøyen;Mann;60 -74 år;46;23.7;194
2024;104;Nedre Tøyen;Kvinne;60 -74 år;34;20.2;168
2024;105;Kampen;Mann;15-24 år;108;53.2;203
2024;105;Kampen;Kvinne;15-24 år;83;52.2;159
2024;105;Kampen;Mann;25-39 år;614;87.6;701
2024;105;Kampen;Kvinne;25-39 år;661;87.2;758
2024;105;Kampen;Mann;40-49 år;228;77.6;294
2024;105;Kampen;Kvinne;40-49 år;248;79.7;311
2024;105;Kampen;Mann;50-59 år;173;74.2;233
2024;105;Kampen;Kvinne;50-59 år;180;75.6;238
2024;105;Kampen;Mann;60 -74 år;91;46.9;194
2024;105;Kampen;Kvinne;60 -74 år;88;34.9;252
2024;106;Vålerenga;Mann;15-24 år;146;46.8;312
2024;106;Vålerenga;Kvinne;15-24 år;142;51.1;278
2024;106;Vålerenga;Mann;25-39 år;745;80.0;931
2024;106;Vålerenga;Kvinne;25-39 år;848;85.6;991
2024;106;Vålerenga;Mann;40-49 år;374;74.9;499
2024;106;Vålerenga;Kvinne;40-49 år;372;77.7;479
2024;106;Vålerenga;Mann;50-59 år;281;66.3;424
2024;106;Vålerenga;Kvinne;50-59 år;270;72.2;374
2024;106;Vålerenga;Mann;60 -74 år;140;41.5;337
2024;106;Vålerenga;Kvinne;60 -74 år;108;36.0;300
